department_id;name;phone_number;country_id;province_id;district_id;ward_id;village_id
33f7bcbb-bd40-4698-9405-6d34c452ae03;Representative;Granite Cloned;generate parsing Borders;Account Fully-configurable;Slovakia;Won;Granite Concrete Unbranded
459a3ef1-9c39-4d16-9a6c-5219b1f576cb;Steel;azure;Licensed Borders Towels;back-end;Orchestrator;copy payment;Dram
bdb7d1ec-762d-4a62-bb34-1a5d352bfa88;24/7 Fresh;New;Licensed national;Chair Tuna;port;Tuna experiences;programming
bcd2c2a8-e91e-48a9-8bd5-b85fe6c9fc89;Designer solid;hacking;deposit;payment Costa;Nebraska navigate Product;Islands black deposit;client-server
58ab5695-c932-483b-92e2-3f02dbdc48b7;Health content;bluetooth Auto SMTP;group Group Fantastic;Frozen;1080p context-sensitive parsing;Personal;lavender deposit
0a27ab4a-288a-44f9-83b2-e161ac8cd707;Towels redundant;Fresh Germany Infrastructure;enhance;utilisation improvement;Incredible world-class;Generic;virtual Steel magenta
d9470afc-5620-484e-a729-0b88a88decd2;Mississippi schemas Avon;attitude Bedfordshire Liaison;Washington USB;Gorgeous;orchid Steel;Jan;convergence Officer azure
b085da64-f7ec-4940-8b79-44a581034b45;indexing Kuwaiti customized;matrix;Clothing;convergence models invoice;Garden;Developer;Alaska Global
2ae24d5b-0b30-43d1-8a64-3cd68ccd37d3;feed Security Rubber;fuchsia Gorgeous;Versatile Sleek Causeway;connect Accountability Sports;Games;De-engineered;directional deposit
ba46e46d-12d1-446a-a492-2dfa2d06f72f;Executive;Card;transmitter infrastructures Legacy;payment;primary Global;SCSI sensor;navigating
