village_id;ward_id;name;latitude;longitude;level
c9376b53-6362-41ee-937f-6344682d8bc8;quantifying;invoice ivory;Buckinghamshire monitor;SQL haptic;86787
543b5106-cd7a-451b-8790-e1899cf5c991;bricks-and-clicks;Accountability Division;payment;Paradigm transmitter synthesizing;91035
155abc19-3717-4b24-8e38-566b26fe3d1c;implementation;integrated Internal Account;Account solutions;Cloned Account;4247
2b627342-8bb4-44bc-b1cb-29c63f8814f8;Maryland;Berkshire;Cameroon;fuchsia;69323
405644f0-f0bd-48bc-b50b-4b253979eda4;Norway;Monitored IB AGP;web-readiness compressing Security;Kansas SMS Associate;92894
45c029a0-0dee-401a-9014-e3c3532bad41;mindshare;International;reboot;HDD;71354
2a623766-55f8-4e88-8d0f-0937a5e5e100;Euro invoice;Minnesota Cheese;Multi-tiered Specialist to;ability Knolls;86500
23e01bc0-53e2-4ede-b04d-781c3e54b9ba;Tanzania sensor embrace;Cambridgeshire Isle cohesive;bandwidth-monitored;neural;80114
d7d3cd68-c5ad-4eac-b3b6-f6d700d6cfcd;withdrawal Ball;Frozen;morph Product;protocol infomediaries Colorado;13265
5f9f96cf-2f10-40d7-8f56-efe78d906706;Car Rubber Delaware;Assurance Pass;impactful Decentralized;foreground Overpass Soft;74282
