disaster_id;department_id;hazard_id;type;cause;location;location_id;description;disaster_category_id;disaster_type_id;case_name;estimated_damage;is_declared;declaration_date;closure_date;intervention
8dd84c14-d34f-4e36-a27d-8619b628a846;Shilling Functionality compress;national Pound;reboot invoice Fish;(Bouvetoya) Steel 1080p;DISTRICT;Horizontal Baby;Buckinghamshire;Gloves Liaison;Tactics static;reboot;Borders deposit;true;2022-03-09T21:05:55;2022-03-10T06:00:37;Frozen
4e1c8d9b-5182-47de-b763-3f2694771b6c;User-friendly e-enable;transmit;purple withdrawal Wooden;Designer Denar Legacy;NATIONAL;silver;Supervisor;platforms;secondary methodologies;Samoa bypassing silver;Missouri bypass invoice;true;2022-03-10T03:20:43;2022-03-10T06:31:27;Dynamic
504221f0-6c43-4b48-823b-ab68ed443a71;program;primary transmit;background;deposit structure;PROVINCE;payment Handcrafted;Dinar Massachusetts Sterling;reciprocal Consultant open-source;Gold Administrator;enterprise;HDD Islands Shoes;false;2022-03-09T10:29:53;2022-03-09T15:07:46;Avon
17df655b-5855-433d-a7bb-0b554d1cf2a9;Checking;CFP;Data;bluetooth scalable violet;VILLAGE;GB Buckinghamshire Versatile;copying;Distributed neutral;Paradigm Chair content-based;Human niches;silver maximize Central;true;2022-03-10T07:19:40;2022-03-09T15:46:12;generation SMTP Engineer
794ecb27-f5c1-4e85-8de7-5beba817648f;circuit Corporate;Borders Analyst;Implementation;Island;VILLAGE;relationships Fresh;distributed;Technician Kids;invoice Electronics;Home;Exclusive collaborative;true;2022-03-10T00:06:33;2022-03-10T05:34:46;Borders overriding
3d73785c-29c3-4868-ad2c-f5ec5e0faaaf;deposit;Avon;Virginia Market index;Markets Interactions;NATIONAL;Pants synthesize up;compress;deposit matrix harness;digital wireless Guilder;Practical Data;deposit Pizza Fords;false;2022-03-10T07:01:39;2022-03-10T01:19:21;Central Solutions Customer
69c5d70b-2784-4d67-bf86-b0bd59daa7ce;eco-centric compress;ADP Exclusive;Kids;mobile optimizing;VILLAGE;alarm;Small;Israel Infrastructure Cotton;Oregon;help-desk Computers enterprise;salmon;true;2022-03-09T15:50:38;2022-03-09T10:58:47;technologies iterate Kenya
3f91efb3-5df4-4209-9751-a87a2bd4ec23;Keyboard;revolutionize grey Credit;Soft;Refined real-time;WARD;Dollar cross-platform;fault-tolerant;adapter Account;New hacking Fields;Checking Baby;CSS Steel Rupee;true;2022-03-10T01:58:20;2022-03-10T01:17:35;Freeway Turkey
d2551617-a6f4-4179-89d5-d6d122776a35;Armenia;backing Account Awesome;Port;Coordinator e-services;WARD;mesh Quetzal;Home evolve;application Sleek;payment Metrics Flat;wireless Steel;global Home structure;true;2022-03-10T07:57:48;2022-03-09T08:42:00;Bacon Georgia port
188c1870-b8eb-4665-98d4-075b714e6eab;Coves Unbranded networks;circuit initiatives microchip;Gorgeous Awesome;calculating Stream;PROVINCE;ADP gold;Account parse GB;program eco-centric Brand;software azure syndicate;State) foreground Sahara;Toys District Buckinghamshire;false;2022-03-09T12:02:55;2022-03-09T14:16:57;Creek paradigms Table
